epoch,test_accuracy,test_f1-score,test_loss,test_precision,test_recall
0.0,0.019662921348314606,0.008048214805326501,4.9981207847595215,0.006364564256528863,0.01966292134831461
1.0,0.7303370786516854,0.7164249936355219,0.7049373984336853,0.7795916598372246,0.7303370786516854
2.0,0.8136704119850188,0.8071418940375121,0.23346395790576935,0.8448973620234969,0.8136704119850187
3.0,0.8342696629213483,0.8325471909495405,0.15689758956432343,0.8566307939325125,0.8342696629213483
4.0,0.849250936329588,0.8477545410345708,0.10596621781587601,0.8729558077166939,0.8492509363295879
5.0,0.8670411985018727,0.8648415424284931,0.15056626498699188,0.8905172775731897,0.8670411985018726
6.0,0.8717228464419475,0.8686233994724727,0.07417312264442444,0.8846651686787179,0.8717228464419475
7.0,0.8829588014981273,0.8820602557175906,0.08016199618577957,0.8950134832487774,0.8829588014981273
8.0,0.8792134831460674,0.8777715847083768,0.08777732402086258,0.8917991845123371,0.8792134831460674
9.0,0.8820224719101124,0.880650628549871,0.04706922546029091,0.8998271574940443,0.8820224719101124
10.0,0.8764044943820225,0.8767383996680023,0.05975468084216118,0.8894183669381952,0.8764044943820225
11.0,0.8895131086142322,0.888968362970645,0.08249318599700928,0.9003040304797879,0.8895131086142323
12.0,0.8838951310861424,0.8833810741337049,0.0701780840754509,0.8941917669610995,0.8838951310861424
13.0,0.8857677902621723,0.8854864928814502,0.035868238657712936,0.8956107443632227,0.8857677902621722
14.0,0.8848314606741573,0.884417432106033,0.052674371749162674,0.8947476992420812,0.8848314606741573
15.0,0.8904494382022472,0.8894923552779721,0.03723226115107536,0.8959117037768722,0.8904494382022472
16.0,0.8895131086142322,0.8895688343236479,0.05195073410868645,0.8991218776083284,0.889513108614232
17.0,0.8885767790262172,0.8881317641752327,0.05715491995215416,0.8969784199790809,0.8885767790262173
18.0,0.8895131086142322,0.8886663522577618,0.039638303220272064,0.8992788541780611,0.889513108614232
19.0,0.8913857677902621,0.8909401535951477,0.07414427399635315,0.8999622687659701,0.8913857677902622
20.0,0.8895131086142322,0.8891268783295272,0.05223369225859642,0.8981889291952081,0.889513108614232
21.0,0.8941947565543071,0.8942183454288637,0.04068382456898689,0.9032972608650071,0.894194756554307
22.0,0.8951310861423221,0.8947139260558128,0.04156484454870224,0.9037881126364273,0.895131086142322
23.0,0.8913857677902621,0.8910634645470893,0.04916268587112427,0.8996860743721286,0.8913857677902622
24.0,0.8913857677902621,0.8911061601265671,0.03812488168478012,0.8997848088974989,0.8913857677902622
25.0,0.8932584269662921,0.8929656710300687,0.0472516231238842,0.9017870788607736,0.893258426966292
26.0,0.8904494382022472,0.8903477344115185,0.055443212389945984,0.9005248808619594,0.8904494382022472
27.0,0.8923220973782772,0.8918768640919954,0.050692420452833176,0.9016374717300032,0.8923220973782771
28.0,0.8895131086142322,0.8892010606830754,0.029417946934700012,0.9005238051586366,0.889513108614232
29.0,0.8923220973782772,0.8921445037720638,0.03740498423576355,0.9028162655806409,0.8923220973782772
30.0,0.8941947565543071,0.894257593105502,0.03694409877061844,0.902886324771652,0.8941947565543072
