batch,epoch,train_accuracy,train_loss
150.0,2.0,0.78125,1.4027901
151.0,2.0,0.625,1.7282603
152.0,2.0,0.65625,1.9862351
153.0,2.0,0.71875,1.8518847
154.0,2.0,0.53125,1.8523315
155.0,2.0,0.65625,1.9262367
156.0,2.0,0.78125,1.4194725
157.0,2.0,0.625,1.5299487
158.0,2.0,0.65625,1.5063992
159.0,2.0,0.5625,1.9476699
160.0,2.0,0.625,1.9493718
161.0,2.0,0.6875,1.4725282
162.0,2.0,0.6875,1.701563
163.0,2.0,0.5625,1.9076533
164.0,2.0,0.625,1.8379861
165.0,2.0,0.6875,1.6876403
166.0,2.0,0.78125,1.4074955
167.0,2.0,0.71875,1.5907677
168.0,2.0,0.6875,1.6689508
169.0,2.0,0.53125,1.8844864
170.0,2.0,0.59375,1.7538694
171.0,2.0,0.6875,1.7171775
172.0,2.0,0.6875,1.4986922
173.0,2.0,0.75,1.3619295
174.0,2.0,0.625,1.6818694
175.0,2.0,0.78125,1.4664475
176.0,2.0,0.71875,1.4237083
177.0,2.0,0.6875,1.7458999
178.0,2.0,0.65625,1.7409974
179.0,2.0,0.53125,1.9786444
180.0,2.0,0.78125,1.5217646
181.0,2.0,0.65625,1.6611367
182.0,2.0,0.78125,1.2501233
183.0,2.0,0.6875,1.4111543
184.0,2.0,0.71875,1.4226025
185.0,2.0,0.625,1.7220627
186.0,2.0,0.6875,1.5788406
187.0,2.0,0.84375,1.529672
188.0,2.0,0.6875,1.5554837
189.0,2.0,0.71875,1.4963721
190.0,2.0,0.625,1.7773242
191.0,2.0,0.6875,1.3671016
192.0,2.0,0.78125,1.4788424
193.0,2.0,0.6875,1.577559
194.0,2.0,0.78125,1.381386
195.0,2.0,0.84375,1.1034669
196.0,2.0,0.6875,1.7310661
197.0,2.0,0.6875,1.5494018
198.0,2.0,0.65625,1.5422745
199.0,2.0,0.78125,1.4514834
200.0,2.0,0.625,1.7739967
201.0,2.0,0.8125,1.2495008
202.0,2.0,0.75,1.3741932
203.0,2.0,0.71875,1.5728511
204.0,2.0,0.71875,1.532647
205.0,2.0,0.71875,1.4517109
206.0,2.0,0.71875,1.2071135
207.0,2.0,0.78125,1.2774951
208.0,2.0,0.625,1.6323358
209.0,2.0,0.71875,1.495997
210.0,2.0,0.78125,1.2486709
211.0,2.0,0.65625,1.7155402
212.0,2.0,0.84375,1.3336177
213.0,2.0,0.78125,1.4856342
214.0,2.0,0.6875,1.661793
215.0,2.0,0.46875,1.9078966
216.0,2.0,0.875,1.0954623
217.0,2.0,0.59375,1.6336473
218.0,2.0,0.75,1.3360037
